sample2_1,0,0,0,0,0,0,0.01,-0.01,0.00,-0.00,-0.00,0.00,dynamic_wave
sample2_1,1,0,0,0,0,0,0.01,-0.00,-0.00,-0.01,-0.00,0.00,dynamic_wave
sample2_1,2,0,0,0,0,0,0.01,-0.00,-0.01,-0.01,-0.00,0.00,dynamic_wave
sample2_1,3,0,0,0,0,0,0.02,-0.01,-0.01,-0.00,-0.00,0.00,dynamic_wave
sample2_1,4,0,0,0,0,0,0.02,-0.01,-0.01,-0.00,-0.00,0.00,dynamic_wave
sample2_1,5,0,0,0,0,0,0.03,-0.01,-0.01,-0.01,-0.00,0.00,dynamic_wave
sample2_1,6,0,0,0,0,0,0.03,-0.01,-0.02,-0.01,-0.00,0.00,dynamic_wave
sample2_1,7,0,0,0,0,0,0.03,-0.02,-0.02,-0.01,-0.00,0.00,dynamic_wave
sample2_1,8,0,0,0,0,0,0.04,-0.02,-0.02,-0.01,-0.00,0.00,dynamic_wave
sample2_1,9,0,0,0,0,0,0.04,-0.02,-0.02,-0.01,-0.00,0.00,dynamic_wave
sample2_1,10,0,0,0,0,0,0.04,-0.01,-0.02,-0.00,-0.00,-0.00,dynamic_wave
sample2_1,11,0,0,0,0,0,0.04,-0.02,-0.02,-0.00,-0.00,-0.00,dynamic_wave
sample2_1,12,0,0,0,0,0,0.04,-0.02,-0.03,-0.00,-0.00,-0.00,dynamic_wave
sample2_1,13,0,0,0,0,0,0.03,-0.02,-0.02,-0.01,-0.00,-0.00,dynamic_wave
sample2_1,14,0,0,0,0,0,0.04,-0.01,-0.02,-0.00,-0.00,-0.00,dynamic_wave
sample2_1,15,0,0,0,0,0,0.03,-0.01,-0.02,-0.00,-0.00,-0.00,dynamic_wave
sample2_1,16,0,0,0,0,0,0.04,-0.00,-0.01,-0.00,-0.01,0.00,dynamic_wave
sample2_1,17,0,0,0,0,0,0.04,-0.02,-0.03,-0.01,-0.01,0.00,dynamic_wave
sample2_1,18,0,0,0,0,0,0.08,-0.09,-0.07,-0.00,-0.03,0.00,dynamic_wave
sample2_1,19,0,0,0,0,0,0.13,-0.10,-0.18,-0.03,-0.09,0.00,dynamic_wave
sample2_1,20,0,0,0,0,0,0.18,-0.03,-0.42,-0.04,-0.22,0.01,dynamic_wave
sample2_1,21,0,0,0,0,0,0.18,0.05,-0.70,0.01,-0.39,-0.00,dynamic_wave
sample2_1,22,0,0,0,0,0,0.14,0.08,-1.02,0.12,-0.57,-0.02,dynamic_wave
sample2_1,23,0,0,0,0,0,0.09,0.11,-1.29,0.14,-0.76,-0.02,dynamic_wave
sample2_1,24,0,0,0,0,0,-0.00,0.25,-1.55,0.17,-1.02,-0.01,dynamic_wave
sample2_1,25,0,0,0,0,0,-0.14,0.40,-1.77,0.31,-1.30,-0.03,dynamic_wave
sample2_1,26,0,0,0,0,0,-0.40,0.46,-1.95,0.55,-1.62,-0.07,dynamic_wave
sample2_1,27,0,0,0,0,0,-0.71,0.50,-2.02,0.74,-1.92,-0.10,dynamic_wave
sample2_1,28,0,0,0,0,0,-1.09,0.58,-1.91,0.94,-2.21,-0.14,dynamic_wave
sample2_1,29,0,0,0,0,0,-1.58,0.62,-1.69,1.17,-2.50,-0.20,dynamic_wave
sample2_1,30,0,0,0,0,0,-2.14,0.50,-1.18,1.45,-2.71,-0.28,dynamic_wave
sample2_1,31,0,0,0,0,0,-2.67,0.22,-0.53,1.69,-2.89,-0.37,dynamic_wave
sample2_1,32,0,0,0,0,0,-3.17,-0.02,0.26,1.79,-3.04,-0.45,dynamic_wave
sample2_1,33,0,0,0,0,0,-3.63,-0.23,1.14,1.92,-3.17,-0.56,dynamic_wave
sample2_1,34,0,0,0,0,0,-4.02,-0.54,2.15,2.03,-3.23,-0.70,dynamic_wave
sample2_1,35,0,0,0,0,0,-4.29,-0.85,3.20,2.01,-3.27,-0.85,dynamic_wave
sample2_1,36,0,0,0,0,0,-4.34,-1.07,4.31,1.82,-3.28,-0.99,dynamic_wave
sample2_1,37,0,0,0,0,0,-4.27,-1.18,5.33,1.63,-3.33,-1.18,dynamic_wave
sample2_1,38,0,0,0,0,0,-4.09,-1.31,6.19,1.41,-3.32,-1.42,dynamic_wave
sample2_1,39,0,0,0,0,0,-3.83,-1.64,6.94,1.21,-3.19,-1.69,dynamic_wave
sample2_1,40,0,0,0,0,0,-3.33,-1.93,7.66,0.87,-3.08,-1.91,dynamic_wave
sample2_1,41,0,0,0,0,0,-2.74,-2.21,8.29,0.54,-2.92,-2.12,dynamic_wave
sample2_1,42,0,0,0,0,0,-2.09,-2.70,8.86,0.29,-2.79,-2.31,dynamic_wave
sample2_1,43,0,0,0,0,0,-1.46,-3.37,9.29,0.08,-2.67,-2.44,dynamic_wave
sample2_1,44,0,0,0,0,0,-0.89,-4.14,9.59,-0.11,-2.49,-2.48,dynamic_wave
sample2_1,45,0,0,0,0,0,-0.35,-5.00,9.84,-0.27,-2.27,-2.44,dynamic_wave
sample2_1,46,0,0,0,0,0,0.10,-5.98,9.94,-0.37,-2.04,-2.30,dynamic_wave
sample2_1,47,0,0,0,0,0,0.44,-7.01,10.02,-0.40,-1.75,-2.05,dynamic_wave
sample2_1,48,0,0,0,0,0,0.67,-7.96,10.08,-0.38,-1.46,-1.69,dynamic_wave
sample2_1,49,0,0,0,0,0,0.90,-8.62,10.17,-0.37,-1.23,-1.23,dynamic_wave
sample2_1,50,0,0,0,0,0,0.97,-9.14,10.14,-0.27,-0.94,-0.73,dynamic_wave
sample2_1,51,0,0,0,0,0,0.95,-9.45,10.06,-0.23,-0.68,-0.17,dynamic_wave
sample2_1,52,0,0,0,0,0,0.85,-9.40,9.93,-0.20,-0.39,0.42,dynamic_wave
sample2_1,53,0,0,0,0,0,0.70,-9.13,9.74,-0.16,-0.10,0.98,dynamic_wave
sample2_1,54,0,0,0,0,0,0.54,-8.66,9.49,-0.17,0.16,1.54,dynamic_wave
sample2_1,55,0,0,0,0,0,0.28,-8.03,9.16,-0.21,0.39,2.07,dynamic_wave
sample2_1,56,0,0,0,0,0,-0.05,-7.15,8.82,-0.30,0.61,2.55,dynamic_wave
sample2_1,57,0,0,0,0,0,-0.37,-6.18,8.53,-0.43,0.78,2.98,dynamic_wave
sample2_1,58,0,0,0,0,0,-0.73,-5.16,8.26,-0.61,0.90,3.36,dynamic_wave
sample2_1,59,0,0,0,0,0,-1.20,-4.18,8.03,-0.77,0.98,3.67,dynamic_wave
sample2_1,60,0,0,0,0,0,-1.82,-3.17,7.71,-0.92,1.03,3.89,dynamic_wave
sample2_1,61,0,0,0,0,0,-2.52,-2.20,7.35,-1.00,1.09,4.00,dynamic_wave
sample2_1,62,0,0,0,0,0,-3.30,-1.37,7.00,-1.05,1.17,4.02,dynamic_wave
sample2_1,63,0,0,0,0,0,-4.14,-0.59,6.67,-1.11,1.26,3.97,dynamic_wave
sample2_1,64,0,0,0,0,0,-5.06,0.27,6.34,-1.13,1.30,3.84,dynamic_wave
sample2_1,65,0,0,0,0,0,-6.05,1.07,6.01,-1.10,1.31,3.62,dynamic_wave
sample2_1,66,0,0,0,0,0,-7.07,1.77,5.64,-0.91,1.33,3.28,dynamic_wave
sample2_1,67,0,0,0,0,0,-8.07,2.39,5.12,-0.65,1.35,2.87,dynamic_wave
sample2_1,68,0,0,0,0,0,-8.97,2.98,4.53,-0.40,1.33,2.40,dynamic_wave
sample2_1,69,0,0,0,0,0,-9.70,3.53,3.88,-0.18,1.24,1.91,dynamic_wave
sample2_1,70,0,0,0,0,0,-10.24,3.95,3.41,0.01,1.11,1.39,dynamic_wave
sample2_1,71,0,0,0,0,0,-10.57,4.25,3.15,0.18,0.92,0.89,dynamic_wave
sample2_1,72,0,0,0,0,0,-10.71,4.45,2.97,0.36,0.66,0.38,dynamic_wave
sample2_1,73,0,0,0,0,0,-10.70,4.50,2.82,0.55,0.39,-0.14,dynamic_wave
sample2_1,74,0,0,0,0,0,-10.48,4.33,2.77,0.74,0.17,-0.66,dynamic_wave
sample2_1,75,0,0,0,0,0,-10.06,4.04,2.81,0.87,-0.03,-1.13,dynamic_wave
sample2_1,76,0,0,0,0,0,-9.47,3.65,2.95,0.89,-0.24,-1.54,dynamic_wave
sample2_1,77,0,0,0,0,0,-8.81,3.20,3.19,0.85,-0.45,-1.91,dynamic_wave
sample2_1,78,0,0,0,0,0,-8.09,2.53,3.54,0.78,-0.62,-2.24,dynamic_wave
sample2_1,79,0,0,0,0,0,-7.38,1.84,4.01,0.65,-0.73,-2.50,dynamic_wave
sample2_1,80,0,0,0,0,0,-6.68,1.15,4.36,0.47,-0.82,-2.71,dynamic_wave
sample2_1,81,0,0,0,0,0,-6.01,0.49,4.55,0.29,-0.87,-2.86,dynamic_wave
sample2_1,82,0,0,0,0,0,-5.38,-0.18,4.69,0.13,-0.88,-2.97,dynamic_wave
sample2_1,83,0,0,0,0,0,-4.77,-0.83,4.84,-0.01,-0.89,-3.02,dynamic_wave
sample2_1,84,0,0,0,0,0,-4.20,-1.48,4.98,-0.20,-0.91,-3.00,dynamic_wave
sample2_1,85,0,0,0,0,0,-3.68,-2.07,5.09,-0.40,-0.96,-2.92,dynamic_wave
sample2_1,86,0,0,0,0,0,-3.20,-2.65,5.14,-0.56,-0.98,-2.80,dynamic_wave
sample2_1,87,0,0,0,0,0,-2.79,-3.27,5.21,-0.65,-0.95,-2.64,dynamic_wave
sample2_1,88,0,0,0,0,0,-2.43,-3.80,5.27,-0.68,-0.88,-2.43,dynamic_wave
sample2_1,89,0,0,0,0,0,-2.07,-4.38,5.27,-0.60,-0.77,-2.22,dynamic_wave
sample2_1,90,0,0,0,0,0,-1.72,-5.01,5.34,-0.44,-0.63,-1.99,dynamic_wave
sample2_1,91,0,0,0,0,0,-1.42,-5.67,5.41,-0.25,-0.48,-1.71,dynamic_wave
sample2_1,92,0,0,0,0,0,-1.16,-6.23,5.46,-0.14,-0.31,-1.38,dynamic_wave
sample2_1,93,0,0,0,0,0,-0.96,-6.67,5.55,-0.05,-0.11,-1.02,dynamic_wave
sample2_1,94,0,0,0,0,0,-0.80,-7.06,5.60,0.18,0.13,-0.69,dynamic_wave
sample2_1,95,0,0,0,0,0,-0.71,-7.41,5.66,0.49,0.42,-0.37,dynamic_wave
sample2_1,96,0,0,0,0,0,-0.66,-7.63,5.81,0.77,0.70,-0.05,dynamic_wave
sample2_1,97,0,0,0,0,0,-0.65,-7.69,6.03,1.01,0.95,0.28,dynamic_wave
sample2_1,98,0,0,0,0,0,-0.71,-7.60,6.25,1.23,1.14,0.60,dynamic_wave
sample2_1,99,0,0,0,0,0,-0.86,-7.35,6.43,1.41,1.32,0.89,dynamic_wave
sample2_2,0,0,0,0,0,0,-1.27,-6.51,6.60,1.11,1.34,1.52,dynamic_wave
sample2_2,1,0,0,0,0,0,-1.79,-5.74,6.78,0.80,1.38,2.06,dynamic_wave
sample2_2,2,0,0,0,0,0,-2.30,-4.72,7.18,0.36,1.34,2.60,dynamic_wave
sample2_2,3,0,0,0,0,0,-2.98,-3.37,7.56,-0.13,1.22,3.11,dynamic_wave
sample2_2,4,0,0,0,0,0,-3.88,-1.84,7.95,-0.56,1.09,3.48,dynamic_wave
sample2_2,5,0,0,0,0,0,-4.88,-0.12,8.34,-0.89,0.99,3.68,dynamic_wave
sample2_2,6,0,0,0,0,0,-5.96,1.59,8.59,-1.20,0.89,3.79,dynamic_wave
sample2_2,7,0,0,0,0,0,-7.09,3.45,8.79,-1.45,0.76,3.76,dynamic_wave
sample2_2,8,0,0,0,0,0,-8.19,5.26,8.96,-1.70,0.62,3.63,dynamic_wave
sample2_2,9,0,0,0,0,0,-9.28,6.91,9.15,-1.92,0.44,3.38,dynamic_wave
sample2_2,10,0,0,0,0,0,-10.12,7.94,9.33,-1.64,0.37,2.65,dynamic_wave
sample2_2,11,0,0,0,0,0,-10.71,8.99,9.55,-1.26,0.29,1.85,dynamic_wave
sample2_2,12,0,0,0,0,0,-11.17,9.61,9.56,-0.64,0.27,0.88,dynamic_wave
sample2_2,13,0,0,0,0,0,-11.30,9.69,9.48,0.14,0.31,-0.21,dynamic_wave
sample2_2,14,0,0,0,0,0,-11.12,9.44,9.38,0.88,0.29,-1.28,dynamic_wave
sample2_2,15,0,0,0,0,0,-10.69,8.73,9.23,1.60,0.15,-2.29,dynamic_wave
sample2_2,16,0,0,0,0,0,-10.05,7.66,9.10,2.31,-0.04,-3.29,dynamic_wave
sample2_2,17,0,0,0,0,0,-9.20,6.34,8.98,2.79,-0.26,-4.11,dynamic_wave
sample2_2,18,0,0,0,0,0,-8.33,4.86,8.87,3.11,-0.50,-4.78,dynamic_wave
sample2_2,19,0,0,0,0,0,-7.29,3.28,8.79,3.11,-0.76,-5.20,dynamic_wave
sample2_2,20,0,0,0,0,0,-6.14,1.84,8.87,2.82,-0.99,-5.38,dynamic_wave
sample2_2,21,0,0,0,0,0,-4.95,0.44,8.99,2.38,-1.19,-5.42,dynamic_wave
sample2_2,22,0,0,0,0,0,-3.85,-0.99,9.14,1.94,-1.36,-5.35,dynamic_wave
sample2_2,23,0,0,0,0,0,-2.82,-2.50,9.43,1.55,-1.49,-5.19,dynamic_wave
sample2_2,24,0,0,0,0,0,-1.85,-4.04,9.83,1.20,-1.52,-4.88,dynamic_wave
sample2_2,25,0,0,0,0,0,-1.05,-5.49,10.24,0.80,-1.44,-4.37,dynamic_wave
sample2_2,26,0,0,0,0,0,-0.42,-6.78,10.62,0.21,-1.31,-3.53,dynamic_wave
sample2_2,27,0,0,0,0,0,-0.01,-7.79,10.91,-0.37,-1.10,-2.52,dynamic_wave
sample2_2,28,0,0,0,0,0,0.43,-8.43,11.14,-0.76,-0.77,-1.49,dynamic_wave
sample2_2,29,0,0,0,0,0,0.79,-8.75,11.21,-0.87,-0.38,-0.53,dynamic_wave
sample2_2,30,0,0,0,0,0,0.98,-8.97,11.08,-0.78,0.01,0.40,dynamic_wave
sample2_2,31,0,0,0,0,0,0.98,-8.94,10.82,-0.71,0.31,1.39,dynamic_wave
sample2_2,32,0,0,0,0,0,0.80,-8.42,10.47,-0.78,0.53,2.47,dynamic_wave
sample2_2,33,0,0,0,0,0,0.44,-7.41,10.01,-0.98,0.67,3.54,dynamic_wave
sample2_2,34,0,0,0,0,0,-0.17,-6.11,9.43,-1.29,0.73,4.50,dynamic_wave
sample2_2,35,0,0,0,0,0,-0.89,-4.69,8.86,-1.67,0.73,5.32,dynamic_wave
sample2_2,36,0,0,0,0,0,-1.65,-2.99,8.47,-1.97,0.71,5.87,dynamic_wave
sample2_2,37,0,0,0,0,0,-2.48,-1.36,8.32,-2.11,0.64,6.16,dynamic_wave
sample2_2,38,0,0,0,0,0,-3.50,0.49,8.23,-2.23,0.52,6.25,dynamic_wave
sample2_2,39,0,0,0,0,0,-4.78,2.30,8.31,-2.27,0.38,6.14,dynamic_wave
sample2_2,40,0,0,0,0,0,-6.17,4.16,8.52,-2.23,0.22,5.80,dynamic_wave
sample2_2,41,0,0,0,0,0,-7.58,5.99,8.67,-2.07,0.12,5.20,dynamic_wave
sample2_2,42,0,0,0,0,0,-8.76,7.72,8.87,-1.81,0.07,4.37,dynamic_wave
sample2_2,43,0,0,0,0,0,-9.68,9.02,9.10,-1.44,0.06,3.36,dynamic_wave
sample2_2,44,0,0,0,0,0,-10.30,9.87,9.34,-1.02,0.05,2.30,dynamic_wave
sample2_2,45,0,0,0,0,0,-10.69,10.45,9.44,-0.54,-0.01,1.20,dynamic_wave
sample2_2,46,0,0,0,0,0,-10.94,10.63,9.40,0.02,-0.05,0.03,dynamic_wave
sample2_2,47,0,0,0,0,0,-10.93,10.68,9.24,0.62,-0.07,-1.17,dynamic_wave
sample2_2,48,0,0,0,0,0,-10.61,10.05,9.17,1.31,-0.09,-2.37,dynamic_wave
sample2_2,49,0,0,0,0,0,-9.87,8.89,9.05,1.98,-0.18,-3.49,dynamic_wave
sample2_2,50,0,0,0,0,0,-8.80,7.28,8.78,2.45,-0.28,-4.39,dynamic_wave
sample2_2,51,0,0,0,0,0,-7.84,5.74,8.72,2.70,-0.50,-5.11,dynamic_wave
sample2_2,52,0,0,0,0,0,-6.82,4.06,8.74,2.92,-0.62,-5.67,dynamic_wave
sample2_2,53,0,0,0,0,0,-5.74,2.22,8.74,2.89,-0.75,-5.96,dynamic_wave
sample2_2,54,0,0,0,0,0,-4.65,0.48,8.81,2.43,-1.00,-5.91,dynamic_wave
sample2_2,55,0,0,0,0,0,-3.61,-0.81,9.10,1.65,-1.28,-5.57,dynamic_wave
sample2_2,56,0,0,0,0,0,-2.68,-1.79,9.42,0.96,-1.48,-5.26,dynamic_wave
sample2_2,57,0,0,0,0,0,-1.77,-3.17,9.50,0.68,-1.41,-5.08,dynamic_wave
sample2_2,58,0,0,0,0,0,-0.89,-4.71,9.48,0.36,-1.36,-4.74,dynamic_wave
sample2_2,59,0,0,0,0,0,-0.56,-5.94,9.18,-0.07,-1.34,-4.16,dynamic_wave
sample2_2,60,0,0,0,0,0,-0.24,-6.88,9.32,-0.38,-1.16,-3.50,dynamic_wave
sample2_2,61,0,0,0,0,0,0.22,-7.99,9.29,-0.62,-0.87,-2.61,dynamic_wave
sample2_2,62,0,0,0,0,0,0.54,-8.85,9.16,-0.92,-0.72,-1.56,dynamic_wave
sample2_2,63,0,0,0,0,0,0.62,-9.10,9.01,-1.11,-0.56,-0.51,dynamic_wave
sample2_2,64,0,0,0,0,0,0.54,-8.94,8.75,-0.91,-0.25,0.35,dynamic_wave
sample2_2,65,0,0,0,0,0,0.36,-8.78,8.33,-0.39,0.15,1.01,dynamic_wave
sample2_2,66,0,0,0,0,0,0.26,-8.63,8.02,-0.02,0.43,1.78,dynamic_wave
sample2_2,67,0,0,0,0,0,-0.04,-7.90,7.88,-0.16,0.41,2.81,dynamic_wave
sample2_2,68,0,0,0,0,0,-0.61,-6.69,7.81,-0.44,0.39,3.79,dynamic_wave
sample2_2,69,0,0,0,0,0,-0.92,-5.49,8.01,-0.58,0.44,4.55,dynamic_wave
sample2_2,70,0,0,0,0,0,-1.53,-4.30,7.87,-0.74,0.38,5.20,dynamic_wave
sample2_2,71,0,0,0,0,0,-2.27,-2.80,7.82,-0.97,0.26,5.74,dynamic_wave
sample2_2,72,0,0,0,0,0,-3.18,-1.39,7.87,-1.13,0.13,6.12,dynamic_wave
sample2_2,73,0,0,0,0,0,-4.19,-0.07,8.21,-1.34,-0.04,6.39,dynamic_wave
sample2_2,74,0,0,0,0,0,-5.38,1.24,8.85,-1.47,-0.23,6.42,dynamic_wave
sample2_2,75,0,0,0,0,0,-6.52,2.62,9.50,-1.57,-0.33,6.21,dynamic_wave
sample2_2,76,0,0,0,0,0,-7.69,4.46,9.91,-1.59,-0.37,5.76,dynamic_wave
sample2_2,77,0,0,0,0,0,-8.69,6.15,10.03,-1.40,-0.32,5.04,dynamic_wave
sample2_2,78,0,0,0,0,0,-9.41,7.50,9.96,-1.21,-0.27,4.20,dynamic_wave
sample2_2,79,0,0,0,0,0,-9.96,8.73,10.04,-1.17,-0.24,3.37,dynamic_wave
sample2_2,80,0,0,0,0,0,-10.37,9.73,10.21,-1.08,-0.22,2.40,dynamic_wave
sample2_2,81,0,0,0,0,0,-10.59,10.28,10.33,-0.80,-0.12,1.25,dynamic_wave
sample2_2,82,0,0,0,0,0,-10.63,10.46,10.33,-0.44,0.02,0.02,dynamic_wave
sample2_2,83,0,0,0,0,0,-10.48,10.21,10.00,0.02,0.20,-1.25,dynamic_wave
sample2_2,84,0,0,0,0,0,-10.00,9.65,9.49,0.37,0.40,-2.35,dynamic_wave
sample2_2,85,0,0,0,0,0,-9.39,8.85,9.02,0.64,0.46,-3.18,dynamic_wave
sample2_2,86,0,0,0,0,0,-8.73,7.45,8.74,0.96,0.46,-3.86,dynamic_wave
sample2_2,87,0,0,0,0,0,-8.03,5.73,8.77,1.35,0.40,-4.44,dynamic_wave
sample2_2,88,0,0,0,0,0,-7.36,4.11,8.89,1.72,0.34,-4.88,dynamic_wave
sample2_2,89,0,0,0,0,0,-6.61,2.77,8.92,2.06,0.17,-5.34,dynamic_wave
sample2_2,90,0,0,0,0,0,-5.91,1.42,8.87,2.35,0.03,-5.72,dynamic_wave
sample2_2,91,0,0,0,0,0,-5.21,0.09,8.84,2.41,-0.13,-5.86,dynamic_wave
sample2_2,92,0,0,0,0,0,-4.29,-1.07,9.01,2.18,-0.36,-5.77,dynamic_wave
sample2_2,93,0,0,0,0,0,-3.31,-2.07,9.28,1.78,-0.56,-5.51,dynamic_wave
sample2_2,94,0,0,0,0,0,-2.45,-3.21,9.38,1.43,-0.74,-5.19,dynamic_wave
sample2_2,95,0,0,0,0,0,-1.77,-4.50,9.47,1.19,-0.85,-4.82,dynamic_wave
sample2_2,96,0,0,0,0,0,-1.10,-5.68,9.62,0.86,-0.92,-4.31,dynamic_wave
sample2_2,97,0,0,0,0,0,-0.51,-6.58,9.78,0.44,-0.86,-3.61,dynamic_wave
sample2_2,98,0,0,0,0,0,-0.08,-7.43,9.90,0.03,-0.74,-2.79,dynamic_wave
